protein,protein frequency
A0A024R6X1_CES2    ,0                  
A0A075B6L0_IGLC3   ,265                
A0A087WVW2_IGHG3   ,0                  
P06331             ,0                  
A0A075B6R9         ,0                  
P06310             ,0                  
A0A087WSX4         ,7                  
A0A087WT59_TTR     ,0                  
P19823_ITIH2       ,334                
A0A087WZM5_FKBP1A  ,0                  
O75626_PRDM1       ,44                 
A0A087WX49_IGLL5   ,174                
A0A0A0MS15         ,0                  
A0A087WV47_IGHG1   ,0                  
A0A087WVN6         ,0                  
A0A087WW89         ,368                
P06753_2_TPM3      ,0                  
Q9Y6R7_FCGBP       ,0                  
Q96KP4_CNDP2       ,0                  
A0A087WZH9         ,382                
A0A087WZM2_RNASET2 ,0                  
A0A087WZW8         ,359                
A0A087X130         ,2                  
A0A075B6P5         ,281                
A0A087X2C0         ,4150               
Q06830_PRDX1       ,0                  
P13797_PLS3        ,4                  
A8K2U0_A2ML1       ,0                  
P08670_VIM         ,0                  
P15153_RAC2        ,0                  
P09429_HMGB1       ,12                 
B4E1Z4_CFB         ,0                  
B5MDF5_RAN         ,0                  
B7Z6Z4_MYL6        ,0                  
B7ZKJ8_ITIH4       ,0                  
P40925_3_MDH1      ,0                  
C9JC84_FGG         ,12                 
P19971_2_TYMP      ,0                  
Q9UG63_2_ABCF2     ,0                  
P30838_ALDH3A1     ,324                
C9JV77_AHSG        ,0                  
CON__P00761        ,258                
CON__P01966        ,16                 
CON__P02538_KRT6A  ,0                  
CON__P02768_1_ALB  ,0                  
CON__P02769_ALB    ,0                  
CON__P08779_KRT16  ,0                  
CON__P13645_KRT10  ,0                  
CON__P13646_1      ,0                  
CON__P13647_KRT5   ,0                  
CON__P19013        ,1                  
CON__P35527_KRT9   ,0                  
CON__P60712_ACTB   ,0                  
CON__Q3MHH8        ,1                  
D6RF35_GC          ,0                  
E5RHG6_TBCA        ,0                  
E7EQR4_EZR         ,24                 
P02788_LTF         ,0                  
E7EX29_YWHAZ       ,315                
P11413_2_G6PD      ,0                  
Q9H0U4_RAB1B       ,0                  
P55786_NPEPPS      ,0                  
O00764_PDXK        ,1                  
P0C0L5_C4B         ,0                  
P22079_LPO         ,0                  
F5H5D3_TUBA1C      ,0                  
Q14697_2_GANAB     ,0                  
P30040_ERP29       ,0                  
P09382_LGALS1      ,0                  
Q8TD19_NEK9        ,0                  
P16070_CD44        ,127                
P06576_ATP5B       ,181                
P00441_SOD1        ,0                  
J3KPA1_CRISP3      ,0                  
P68431_HIST1H3A    ,0                  
K7ELL7_PRKCSH      ,0                  
O00299_CLIC1       ,0                  
O00391_QSOX1       ,0                  
O15511_2_ARPC5     ,0                  
O43707_ACTN4       ,0                  
O60888_2_CUTA      ,0                  
O75594_PGLYRP1     ,11                 
O95336_PGLS        ,0                  
P00330_ADH1        ,0                  
P00338_3_LDHA      ,0                  
P00352_ALDH1A1     ,0                  
P00450_CP          ,0                  
P00489_PYGM        ,0                  
P00491_PNP         ,0                  
P00558_PGK1        ,0                  
P00738_HP          ,362                
P00924_ENO1        ,0                  
P01008_SERPINC1    ,532                
P01009_SERPINA1    ,0                  
P01023_A2M         ,38                 
P01024_C3          ,290                
P01033_TIMP1       ,0                  
P01034_CST3        ,0                  
P01036_CST4        ,0                  
P01037_CST1        ,2                  
P01042_2_KNG1      ,0                  
P01591_IGJ         ,0                  
P01593             ,0                  
P01598             ,0                  
P01616             ,0                  
P01622             ,0                  
P01623             ,1188               
P06314_IGKV4_1     ,430                
P01714             ,2                  
P01717             ,0                  
P01763             ,16                 
P01767             ,203                
P01779             ,446                
P04438             ,0                  
P01833_PIGR        ,0                  
P01859_IGHG2       ,0                  
P01861_IGHG4       ,0                  
P01876_IGHA1       ,0                  
P01877_IGHA2       ,10                 
P02647_APOA1       ,0                  
P02671_FGA         ,0                  
P02675_FGB         ,0                  
P02750_LRG1        ,117                
P02753_RBP4        ,0                  
P02760_AMBP        ,0                  
P02763_ORM1        ,0                  
P02787_TF          ,0                  
P02790_HPX         ,10                 
P02814_SMR3B       ,0                  
P03973_SLPI        ,0                  
P04004_VTN         ,0                  
P04040_CAT         ,15                 
P04075_2_ALDOA     ,0                  
P04080_CSTB        ,2                  
P04083_ANXA1       ,0                  
P04196_HRG         ,0                  
P04209             ,5154               
P04217_A1BG        ,107                
P04264_KRT1        ,0                  
P04280_PRB1        ,0                  
P04406_GAPDH       ,5                  
P04745_AMY1A       ,0                  
P04792_HSPB1       ,2                  
P04899_4_GNAI2     ,216                
P05089_2_ARG1      ,0                  
P05109_S100A8      ,0                  
P05164_3_MPO       ,0                  
P05386_RPLP1       ,0                  
P06396_GSN         ,0                  
P06702_S100A9      ,0                  
P06733_ENO1        ,59                 
P06737_PYGL        ,550                
A0A0A0MTS2_GPI     ,0                  
P06870_KLK1        ,0                  
P07108_6_DBI       ,0                  
P07195_LDHB        ,376                
P07237_P4HB        ,0                  
P07339_CTSD        ,0                  
P07737_PFN1        ,0                  
P07858_CTSB        ,0                  
P07900_2_HSP90AA1  ,0                  
P07996_THBS1       ,77                 
P08107_HSPA1A      ,208                
P08238_HSP90AB1    ,0                  
P08246_ELANE       ,0                  
P08311_CTSG        ,0                  
P08571_CD14        ,0                  
P08603_CFH         ,0                  
P09211_GSTP1       ,10                 
P09228_CST2        ,5                  
P09960_LTA4H       ,0                  
P0C0S8_HIST1H2AG   ,0                  
P10412_HIST1H1E    ,0                  
P10599_TXN         ,223                
P10909_2_CLU       ,0                  
P11021_HSPA5       ,44                 
P11142_HSPA8       ,4300               
P11215_2_ITGAM     ,8                  
P12273_PIP         ,0                  
P12429_ANXA3       ,1                  
P12814_3_ACTN1     ,0                  
P13688_CEACAM1     ,0                  
P13796_LCP1        ,2                  
P14174_MIF         ,28                 
P14550_AKR1A1      ,9                  
P14618_PKM2        ,0                  
P14780_MMP9        ,0                  
P16401_HIST1H1B    ,0                  
P16402_HIST1H1D    ,0                  
P16403_HIST1H1C    ,0                  
P17174_GOT1        ,0                  
P17931_LGALS3      ,0                  
P18206_VCL         ,0                  
P18510_2_IL1RN     ,0                  
P18669_PGAM1       ,0                  
P19961_AMY2B       ,40                 
P20061_TCN1        ,0                  
P20160_AZU1        ,0                  
P20618_PSMB1       ,0                  
P22314_UBA1        ,0                  
Q32Q12_NME1_NME2   ,2                  
P22532_SPRR2D      ,0                  
P22894_MMP8        ,0                  
P23280_CA6         ,0                  
P23284_PPIB        ,182                
P23381_WARS        ,0                  
E9PK25_CFL1        ,0                  
P24158_PRTN3       ,2                  
P25311_AZGP1       ,0                  
P26038_MSN         ,0                  
P28325_CST5        ,0                  
P29401_2_TKT       ,0                  
P29508_SERPINB3    ,0                  
P30044_PRDX5       ,0                  
P30101_PDIA3       ,0                  
P30740_SERPINB1    ,0                  
P31025_LCN1        ,994                
P31146_CORO1A      ,0                  
P31151_S100A7      ,3                  
P31946_YWHAB       ,22                 
P31947_SFN         ,0                  
P31949_S100A11     ,0                  
P32119_PRDX2       ,56                 
P32926_DSG3        ,99                 
P35321_SPRR1A      ,0                  
P35579_MYH9        ,0                  
P36952_SERPINB5    ,0                  
P37802_2_TAGLN2    ,29                 
P37837_TALDO1      ,0                  
P40121_CAPG        ,16                 
P43652_AFM         ,0                  
B1AK88_CAPZB       ,0                  
P50395_GDI2        ,0                  
P52209_PGD         ,0                  
P52566_ARHGDIB     ,0                  
P52907_CAPZA1      ,0                  
P55058_PLTP        ,0                  
P59665_DEFA1       ,684                
P59998_3_ARPC4     ,0                  
P60174_TPI1        ,18                 
P61158_ACTR3       ,39                 
P61160_ACTR2       ,4                  
P61586_RHOA        ,235                
P61626_LYZ         ,0                  
P61769_B2M         ,836                
P62258_YWHAE       ,4                  
P62328_TMSB4X      ,25                 
P62805_HIST1H4A    ,0                  
P62937_PPIA        ,0                  
P63261_ACTG1       ,6                  
P63313_TMSB10      ,0                  
P68032_ACTC1       ,0                  
P68371_TUBB4B      ,0                  
P68871_HBB         ,0                  
P69905_HBA1        ,18                 
P78417_GSTO1       ,10                 
X6R8F3_LCN2        ,0                  
P80511_S100A12     ,0                  
P80748             ,705                
Q01469_FABP5       ,230                
Q01518_CAP1        ,0                  
Q02413_DSG1        ,0                  
Q02487_DSC2        ,0                  
Q07654_TFF3        ,0                  
Q08188_TGM3        ,7                  
Q08380_LGALS3BP    ,0                  
Q13404_UBE2V1      ,19                 
Q14508_WFDC2       ,3                  
Q14847_LASP1       ,0                  
Q14974_KPNB1       ,0                  
Q14CN2_CLCA4       ,832                
A0A087WV23_SH3BGRL3,0                  
P21333_FLNA        ,0                  
Q68D86_CCDC102B    ,0                  
Q6P5S2_C6orf58     ,0                  
Q8N4F0_BPIFB2      ,0                  
Q8TAX7_MUC7        ,116                
Q8TDL5_BPIFB1      ,257                
Q96DA0_ZG16B       ,0                  
Q96DR5_BPIFA2      ,0                  
Q99536_VAT1        ,190                
Q99879_HIST1H2BM   ,0                  
Q9BRA2_TXNDC17     ,27                 
Q9BRF8_CPPED1      ,0                  
Q9HC84_MUC5B       ,0                  
Q9HD89_RETN        ,0                  
Q9NQ38_3_SPINK5    ,44                 
Q9UBC9_SPRR3       ,18                 
Q9UBG3_CRNN        ,189                
Q9UBX7_3_KLK11     ,0                  
Q9UGM3_6_DMBT1     ,0                  
Q9UIV8_SERPINB13   ,0                  
Q9UKR3_KLK13       ,14                 
REV__P04280        ,0                  
REV__Q8NDM7        ,0                  
REV__Q13085_4      ,14                 
V9HW75_NUCB2       ,0                  
