,"12_5fmol_C1","12_5fmol_C2","12_5fmol_C3","12_5fmol_C4","12_5fmol_C5","12_5fmol_Ro","12_5fmol_C8","12_5fmol_C9","12_5fmol_C10",25fmol_ST_S09,25fmol_ST_S36,25fmol_ST_S40,25fmol_ST_S49,25fmol_ST_S55,25fmol_ST_S57,25fmol_ST_S61,25fmol_ST_S64,25fmol_ST_S68,25fmol_ST_T16,50fmol_T1T2_S17,50fmol_T1T2_S57,50fmol_T1T2_S77,50fmol_T1T2_S78,50fmol_T1T2_S79,50fmol_T1T2_T12,50fmol_T1T2_T20,50fmol_T1T2_T22,50fmol_T1T2_T23
proteins,"12_5fmol","12_5fmol","12_5fmol","12_5fmol","12_5fmol","12_5fmol","12_5fmol","12_5fmol","12_5fmol",25fmol,25fmol,25fmol,25fmol,25fmol,25fmol,25fmol,25fmol,25fmol,25fmol,50fmol,50fmol,50fmol,50fmol,50fmol,50fmol,50fmol,50fmol,50fmol
P00489_PYGM,28.3461300000000000000000000,27.7712800000000000000000000,26.8529300000000000000000000,27.5460600000000000000000000,29.0898200000000000000000000,27.3811300000000000000000000,27.8141500000000000000000000,28.1310900000000000000000000,27.1707400000000000000000000,29.6086700000000000000000000,28.8055400000000000000000000,28.6882600000000000000000000,28.1682500000000000000000000,28.6874600000000000000000000,29.7622600000000000000000000,29.2517800000000000000000000,29.3196900000000000000000000,27.8237200000000000000000000,28.8365700000000000000000000,29.7815500000000000000000000,29.1393400000000000000000000,29.5636400000000000000000000,30.4439100000000000000000000,30.4250200000000000000000000,31.1113500000000000000000000,30.7139100000000000000000000,29.9800500000000000000000000,29.8727500000000000000000000
P02769_ALB,28.8637000000000000000000000,28.0402000000000000000000000,25.8442400000000000000000000,27.2253600000000000000000000,28.3273600000000000000000000,26.8099300000000000000000000,27.6149800000000000000000000,27.9037400000000000000000000,27.0542400000000000000000000,29.5515500000000000000000000,28.8186100000000000000000000,28.3192400000000000000000000,27.5965500000000000000000000,27.8178100000000000000000000,29.1670300000000000000000000,28.2666900000000000000000000,28.6585700000000000000000000,27.3584200000000000000000000,28.2511000000000000000000000,29.3865700000000000000000000,28.6479100000000000000000000,29.2080700000000000000000000,29.9250700000000000000000000,29.8215100000000000000000000,30.9300200000000000000000000,30.2936200000000000000000000,29.8667600000000000000000000,29.6775300000000000000000000
P00330_ADH1,27.3771600000000000000000000,26.9653200000000000000000000,26.3104100000000000000000000,26.4982200000000000000000000,27.9168400000000000000000000,25.8553600000000000000000000,26.9424600000000000000000000,27.2122500000000000000000000,26.6932500000000000000000000,29.2106700000000000000000000,28.6963100000000000000000000,28.0485900000000000000000000,27.8304400000000000000000000,27.9726300000000000000000000,29.2234800000000000000000000,28.2958300000000000000000000,28.3405300000000000000000000,27.1284900000000000000000000,28.3310400000000000000000000,29.6290400000000000000000000,28.9806800000000000000000000,29.4353100000000000000000000,30.0154500000000000000000000,30.0920700000000000000000000,30.7455900000000000000000000,30.2232000000000000000000000,29.6081400000000000000000000,29.5041900000000000000000000
P01036_CST4,31.4662100000000000000000000,32.8780200000000000000000000,31.8969600000000000000000000,31.6451700000000000000000000,32.0545900000000000000000000,32.3620500000000000000000000,31.5468800000000000000000000,32.4061400000000000000000000,29.2484100000000000000000000,28.1397500000000000000000000,0.0000000000000000000000000,21.0417300000000000000000000,26.5920600000000000000000000,0.0000000000000000000000000,28.4326100000000000000000000,31.2176600000000000000000000,31.7258600000000000000000000,28.5102400000000000000000000,28.9211000000000000000000000,28.5589200000000000000000000,28.5992500000000000000000000,32.1788100000000000000000000,31.4910400000000000000000000,30.2151200000000000000000000,30.5894200000000000000000000,31.0521900000000000000000000,30.3246400000000000000000000,28.5812500000000000000000000
Q99879_HIST1H2BM,28.4239400000000000000000000,28.8792600000000000000000000,28.0352200000000000000000000,29.3494400000000000000000000,27.3818700000000000000000000,28.2916300000000000000000000,28.2094600000000000000000000,27.9977100000000000000000000,28.8864300000000000000000000,24.9871100000000000000000000,25.2428900000000000000000000,25.5672100000000000000000000,26.8454200000000000000000000,26.7163300000000000000000000,25.8440300000000000000000000,23.6665500000000000000000000,27.1140600000000000000000000,27.3421500000000000000000000,26.7413700000000000000000000,27.6600300000000000000000000,26.4025100000000000000000000,26.3266500000000000000000000,23.7515400000000000000000000,26.3975100000000000000000000,22.4887100000000000000000000,28.9443300000000000000000000,27.2724000000000000000000000,26.7395700000000000000000000
A0A1B0GU03_CTSD,22.9866300000000000000000000,23.2506100000000000000000000,22.9375200000000000000000000,23.7711300000000000000000000,22.9830100000000000000000000,24.1786600000000000000000000,22.6072900000000000000000000,23.4512400000000000000000000,23.4184100000000000000000000,20.0164500000000000000000000,20.3223500000000000000000000,20.9290400000000000000000000,22.7397500000000000000000000,0.0000000000000000000000000,22.3765800000000000000000000,22.7060300000000000000000000,21.6375000000000000000000000,24.2419100000000000000000000,20.8180800000000000000000000,21.4037400000000000000000000,22.4164500000000000000000000,22.4378900000000000000000000,22.0437400000000000000000000,23.1174800000000000000000000,21.9160800000000000000000000,21.9764200000000000000000000,22.6525000000000000000000000,21.6068400000000000000000000
Q9NZL9_MAT2B,27.1624100000000000000000000,27.0600300000000000000000000,26.3796300000000000000000000,26.7407300000000000000000000,27.2346200000000000000000000,26.9440300000000000000000000,26.5450400000000000000000000,26.8419400000000000000000000,26.6307600000000000000000000,0.0000000000000000000000000,26.8441000000000000000000000,25.9580600000000000000000000,25.6625600000000000000000000,26.9956100000000000000000000,26.1167800000000000000000000,27.5456200000000000000000000,26.7285800000000000000000000,25.5631100000000000000000000,26.6628900000000000000000000,25.6573600000000000000000000,25.6199200000000000000000000,25.1732900000000000000000000,25.2709900000000000000000000,26.1487600000000000000000000,26.3701600000000000000000000,26.1936100000000000000000000,25.4850800000000000000000000,25.5597300000000000000000000
P02787_TF,27.9330900000000000000000000,26.6133000000000000000000000,28.0081200000000000000000000,28.4052700000000000000000000,27.6369200000000000000000000,28.8701200000000000000000000,29.0261700000000000000000000,29.1964300000000000000000000,27.5982500000000000000000000,31.3426600000000000000000000,31.4556200000000000000000000,30.2289400000000000000000000,29.0427800000000000000000000,30.1792600000000000000000000,30.2182400000000000000000000,29.5019400000000000000000000,28.1777400000000000000000000,29.1804700000000000000000000,30.5027500000000000000000000,28.9112200000000000000000000,29.7302000000000000000000000,29.6206200000000000000000000,28.4984200000000000000000000,28.0807100000000000000000000,29.9869900000000000000000000,29.3098600000000000000000000,29.1695900000000000000000000,31.0495400000000000000000000
P23280_CA6,28.3178600000000000000000000,28.3215200000000000000000000,27.2893800000000000000000000,28.4657200000000000000000000,28.6190800000000000000000000,28.5111100000000000000000000,26.6314500000000000000000000,28.6929200000000000000000000,26.1833800000000000000000000,26.4466900000000000000000000,24.0078700000000000000000000,25.4295600000000000000000000,26.8898300000000000000000000,27.7155500000000000000000000,27.9786900000000000000000000,28.0807100000000000000000000,26.5691800000000000000000000,25.2304800000000000000000000,26.4806700000000000000000000,25.6604700000000000000000000,27.6374800000000000000000000,26.5267700000000000000000000,28.3760000000000000000000000,28.6582000000000000000000000,25.2706000000000000000000000,26.1309100000000000000000000,27.3279200000000000000000000,25.1520100000000000000000000
Q9NQ38-3_SPINK5,23.5694100000000000000000000,23.7244200000000000000000000,24.1903100000000000000000000,23.3968900000000000000000000,23.4998400000000000000000000,22.7758900000000000000000000,23.6587300000000000000000000,23.2288600000000000000000000,22.5056700000000000000000000,0.0000000000000000000000000,22.1609700000000000000000000,0.0000000000000000000000000,22.7085200000000000000000000,20.0792700000000000000000000,22.1456600000000000000000000,21.8142500000000000000000000,22.9934300000000000000000000,22.8739000000000000000000000,21.9775700000000000000000000,0.0000000000000000000000000,22.3962400000000000000000000,21.5528100000000000000000000,22.8226600000000000000000000,22.7245700000000000000000000,0.0000000000000000000000000,24.5956500000000000000000000,21.1091000000000000000000000,23.4504800000000000000000000
P01037_CST1,29.3352600000000000000000000,31.6012100000000000000000000,31.2443900000000000000000000,31.0251800000000000000000000,31.1180500000000000000000000,29.4979800000000000000000000,29.5660500000000000000000000,31.0496700000000000000000000,28.1984500000000000000000000,27.2376300000000000000000000,0.0000000000000000000000000,0.0000000000000000000000000,25.3285500000000000000000000,0.0000000000000000000000000,26.8506700000000000000000000,30.2173200000000000000000000,30.7601800000000000000000000,26.9247900000000000000000000,27.4397600000000000000000000,27.7019300000000000000000000,27.0784700000000000000000000,30.1204100000000000000000000,30.6229600000000000000000000,28.7703000000000000000000000,28.4033700000000000000000000,29.8644000000000000000000000,28.4403500000000000000000000,27.4847000000000000000000000
P09228_CST2,27.1809200000000000000000000,29.6298600000000000000000000,28.2027500000000000000000000,28.8837300000000000000000000,27.7479100000000000000000000,26.5879200000000000000000000,26.3510200000000000000000000,28.6621400000000000000000000,28.0410300000000000000000000,25.4697300000000000000000000,0.0000000000000000000000000,0.0000000000000000000000000,21.7272100000000000000000000,0.0000000000000000000000000,25.4666600000000000000000000,26.1692100000000000000000000,29.1750500000000000000000000,24.0060700000000000000000000,21.2968100000000000000000000,24.4864600000000000000000000,25.3992400000000000000000000,28.0043700000000000000000000,28.1341300000000000000000000,25.1451900000000000000000000,28.0595600000000000000000000,25.9447600000000000000000000,27.0124400000000000000000000,22.7330600000000000000000000
P11217_PYGM,0.0000000000000000000000000,21.8248100000000000000000000,0.0000000000000000000000000,0.0000000000000000000000000,22.4595600000000000000000000,21.5097400000000000000000000,0.0000000000000000000000000,21.6363500000000000000000000,21.4129700000000000000000000,23.3856100000000000000000000,23.5787700000000000000000000,23.1818800000000000000000000,23.1576900000000000000000000,23.3505700000000000000000000,23.6606900000000000000000000,23.2771100000000000000000000,23.1957000000000000000000000,22.5312400000000000000000000,23.0328700000000000000000000,23.9188000000000000000000000,21.2226400000000000000000000,23.7288900000000000000000000,24.1593900000000000000000000,24.0916800000000000000000000,24.6062500000000000000000000,24.0801800000000000000000000,23.8641000000000000000000000,24.0835100000000000000000000
Q08188_TGM3,26.4812800000000000000000000,26.1204400000000000000000000,27.4820800000000000000000000,25.8492900000000000000000000,23.5021500000000000000000000,25.0930900000000000000000000,25.2869700000000000000000000,23.8744600000000000000000000,25.1044600000000000000000000,23.2879900000000000000000000,24.1579200000000000000000000,22.2766000000000000000000000,23.9511800000000000000000000,22.9592900000000000000000000,24.3910000000000000000000000,22.3089700000000000000000000,23.8050900000000000000000000,26.0289700000000000000000000,24.4062000000000000000000000,0.0000000000000000000000000,27.0202000000000000000000000,23.8420100000000000000000000,23.2364700000000000000000000,25.4872000000000000000000000,0.0000000000000000000000000,25.8201900000000000000000000,24.7239600000000000000000000,22.3084400000000000000000000
P00924_ENO1,28.1089900000000000000000000,28.0291800000000000000000000,26.8664400000000000000000000,27.0568300000000000000000000,28.9133400000000000000000000,27.0192400000000000000000000,26.8807500000000000000000000,27.8954500000000000000000000,27.1943200000000000000000000,28.9396100000000000000000000,27.9901600000000000000000000,28.4697600000000000000000000,27.6755900000000000000000000,27.8638400000000000000000000,29.2826800000000000000000000,28.3460800000000000000000000,28.8293500000000000000000000,27.5139700000000000000000000,28.4870000000000000000000000,29.0387100000000000000000000,28.3509000000000000000000000,28.3721500000000000000000000,29.6189600000000000000000000,29.1549400000000000000000000,30.5623800000000000000000000,30.2283700000000000000000000,29.0123300000000000000000000,29.4957200000000000000000000
D6RF35_GC,24.0112000000000000000000000,22.6229000000000000000000000,26.1896700000000000000000000,24.7319500000000000000000000,24.7577600000000000000000000,25.2294200000000000000000000,25.1494200000000000000000000,24.4180900000000000000000000,24.7207800000000000000000000,26.6219900000000000000000000,28.3020400000000000000000000,26.2512200000000000000000000,24.1504300000000000000000000,26.2679400000000000000000000,26.8260200000000000000000000,25.0317100000000000000000000,25.4966500000000000000000000,26.4482100000000000000000000,26.8691500000000000000000000,26.7130600000000000000000000,26.6342300000000000000000000,26.0522300000000000000000000,24.9311200000000000000000000,22.5540100000000000000000000,26.0420200000000000000000000,25.9701600000000000000000000,25.4251500000000000000000000,26.0174200000000000000000000
P00738_HP,27.9713600000000000000000000,26.3624200000000000000000000,27.2939500000000000000000000,27.1148600000000000000000000,26.7769300000000000000000000,27.9226900000000000000000000,29.2726000000000000000000000,28.3952600000000000000000000,28.8272000000000000000000000,29.9605800000000000000000000,31.2633800000000000000000000,30.4775000000000000000000000,29.6404500000000000000000000,29.8911400000000000000000000,29.1874000000000000000000000,29.4611500000000000000000000,28.8250800000000000000000000,29.2729500000000000000000000,31.2521400000000000000000000,31.6400100000000000000000000,29.6307100000000000000000000,30.5256100000000000000000000,28.5623100000000000000000000,27.0017400000000000000000000,30.3631700000000000000000000,28.4940800000000000000000000,27.5808200000000000000000000,29.5813800000000000000000000
